金蝶数据库表结构  
2011-03-0519:27:28|  分类： 默认分类 |  标签： |字号大中小 订阅

统ID 表ID 表名 表中文名 表说明 
6 60015 t_RPAgeGroup 账龄分组表 账龄期间表 

6 60016 t_RPAssure 担保信息表担保资料。FRP=1-应收：FRP=0-应付 

6 60017 t_rp_BegData 应收应付账期初数据FRP=1-应收：FRP=0-应付 

6 60018 t_RPContract 合同表合同资料。FRP=1-应收：FRP=0-应付 

6 60019 t_RPContractDetail 合同已收款明细表合同收款资料。FRP=1-应收：FRP=0-应付 

6 60020 t_RPContractScheme 收款计划明细表合同收款计划资料。FRP=1-应收：FRP=0-应付 

6 60021 t_rp_BillFore 票据前手表票据附加前手列表（入账的前手在票据表中） 

6 60022 t_rp_BillFreeItem 单据自由项表 单据自由项 

6 60023 t_rp_BegDataEntry 期初发票明细表 期初发票存货分录
--------------------- 
作者：sjpljr 
来源：CSDN 
原文：https://blog.csdn.net/sjpljr/article/details/62418439 
版权声明：本文为博主原创文章，转载请附上博文链接！
